utc_time,asset,timeframe,close,trend,rsi,atr,atr_pct,regime,entropy,adx
2026-07-19 15:47,BTC-USD,4h,64556.00,UP,55.4,497.56,0.77,Ranging,1.952,23.3
2026-07-19 15:47,ETH-USD,4h,1871.34,UP,57.9,20.10,1.07,Chaotic,1.982,17.0
2026-07-19 15:47,SOL-USD,4h,76.21,MIXED,54.2,0.86,1.13,Chaotic,1.981,15.4
2026-07-19 15:52,BTC-USD,4h,64562.60,UP,55.5,497.56,0.77,Ranging,1.952,23.3
2026-07-19 15:52,ETH-USD,4h,1871.60,UP,58.0,20.10,1.07,Chaotic,1.982,17.0
2026-07-19 15:52,SOL-USD,4h,76.29,MIXED,55.1,0.86,1.13,Chaotic,1.981,15.4
2026-07-19 15:53,BTC-USD,4h,64554.65,UP,55.4,497.56,0.77,Ranging,1.952,23.3
2026-07-19 15:53,ETH-USD,4h,1870.94,UP,57.6,20.10,1.07,Chaotic,1.982,17.0
2026-07-19 15:53,SOL-USD,4h,76.21,MIXED,54.2,0.86,1.13,Chaotic,1.981,15.4
2026-07-19 16:10,BTC-USD,4h,64522.53,UP,54.8,471.93,0.73,Ranging,1.950,23.1
2026-07-19 16:10,ETH-USD,4h,1869.44,UP,56.8,19.05,1.02,Chaotic,1.981,17.0
2026-07-19 16:10,SOL-USD,4h,76.05,MIXED,52.1,0.82,1.07,Chaotic,1.982,15.5
2026-07-19 18:53,BTC-USD,4h,64403.99,UP,52.9,495.74,0.77,Ranging,1.950,23.3
2026-07-19 18:53,ETH-USD,4h,1859.64,UP,51.7,20.25,1.09,Chaotic,1.982,16.0
2026-07-19 18:53,SOL-USD,4h,75.68,MIXED,47.7,0.86,1.14,Chaotic,1.982,14.8
2026-07-19 20:32,BTC-USD,4h,64501.99,UP,54.4,467.28,0.72,Ranging,1.949,23.3
2026-07-19 20:32,ETH-USD,4h,1864.51,UP,54.0,19.10,1.02,Chaotic,1.979,15.2
2026-07-19 20:32,SOL-USD,4h,75.96,MIXED,51.0,0.81,1.07,Chaotic,1.982,14.3
2026-07-19 21:03,BTC-USD,4h,64549.62,UP,55.0,467.28,0.72,Ranging,1.949,23.3
2026-07-19 21:03,ETH-USD,4h,1867.57,UP,55.4,19.23,1.03,Chaotic,1.979,15.2
2026-07-19 21:03,SOL-USD,4h,76.16,MIXED,53.3,0.83,1.08,Chaotic,1.982,14.3
2026-07-19 21:04,BTC-USD,4h,64541.77,UP,54.9,467.28,0.72,Ranging,1.949,23.3
2026-07-19 21:04,ETH-USD,4h,1867.58,UP,55.4,19.23,1.03,Chaotic,1.979,15.2
2026-07-19 21:04,SOL-USD,4h,76.16,MIXED,53.3,0.83,1.08,Chaotic,1.982,14.3
2026-07-20 03:55,BTC-USD,4h,64876.00,UP,59.2,513.49,0.79,Ranging,1.947,24.2
2026-07-20 03:55,ETH-USD,4h,1879.29,UP,60.0,20.90,1.11,Chaotic,1.978,15.6
2026-07-20 03:55,SOL-USD,4h,76.80,UP,59.8,0.90,1.17,Chaotic,1.985,15.5
2026-07-20 06:32,BTC-USD,4h,64146.01,UP,48.0,533.06,0.83,Ranging,1.946,23.7
